id,cost,elapsed_min,pulloff_force,pulloff_shortfall,pulloff_cost,wrench_achieved,wrench_shortfall,wrench_detach_cost,wrench_drift_cost,xy_drift,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
43df9a0d,0.763319,0.24,360.2800,0.623284,0.623284,308.1000,0.677844,0.203353,0.700000,376.1417,0.19931007,0.0028742237,4.9466132e-05,0.0090555296,0.42975298,0.00026900333,0.96807058,4.7302362,29.859154,4.6001633e-05,0.0017872916,0.80636979,0.04094326,302.34337
3b39e1c8,0.485423,0.24,769.5600,0.195332,0.195332,715.6400,0.251712,0.075514,0.700000,353.9141,0.042957564,0.0021444362,1.5708998e-05,0.0039289383,0.22758889,0.00011920688,0.93970405,4.4322654,30.020259,1.1818485e-05,0.0016750156,1.0525935,0.015641477,713.75446
fada28e6,0.527350,0.24,707.2200,0.260516,0.260516,656.1200,0.313948,0.094184,0.700000,392.2002,0.093394949,0.0025851846,2.0868283e-05,0.01136814,0.49595077,0.00015229339,0.74676876,4.1337377,30.062661,8.1673293e-06,0.0007763783,1.0952353,0.057695254,649.4453
5133fb02,0.355077,0.24,974.8400,0.000000,0.000000,924.0000,0.033847,0.010154,0.700000,405.1214,0.13056312,0.0025684349,1.1387811e-05,0.0019232885,0.36180639,0.00065636034,0.6030877,3.9710747,30.097228,2.4236595e-05,0.0014990809,1.3266467,0.070616101,917.21552
4e9cb706,0.666054,0.24,503.2000,0.473844,0.473844,451.8400,0.527547,0.158264,0.700000,375.6668,0.079204479,0.0025540886,3.97539e-05,0.0062039269,0.35624568,0.00027816425,0.1680924,4.141129,30.243765,8.0702147e-05,0.0023814235,1.5899947,0.044471941,445.33243
4a6ac5a5,0.647641,0.24,530.0800,0.445738,0.445738,479.6400,0.498479,0.149544,0.700000,431.3551,0.18152384,0.0091498214,3.0849783e-05,0.0093196183,0.18793476,0.00055792414,0.52611468,4.4102956,30.027529,8.0114322e-06,0.0021472846,1.1794179,0.094959878,472.21669
cf51f116,0.509011,0.24,734.6600,0.231825,0.231825,681.5800,0.287326,0.086198,0.700000,374.3000,0.080903427,0.0022360028,5.9514474e-05,0.0039685,0.34106967,0.00045079904,0.52912389,4.7906008,29.789378,2.5217277e-05,0.0018891944,0.51927701,0.04250407,676.92657
edf38a22,9999.000000,0.24,58.1000,0.939249,0.939249,0.0000,1.000000,9999.000000,0.000000,0.0000,0.14192178,0.0026892031,1.1895583e-05,0.0023648579,0.39718418,0.00018168226,0.45161325,4.6212183,30.565872,3.5675907e-05,0.002910825,0.96618368,0.01202656,592.69364
da983aad,0.350000,0.24,1119.9800,0.000000,0.000000,1202.9400,0.000000,0.000000,0.700000,384.4073,0.14742939,0.017337053,2.7687982e-05,0.0038946207,0.48958632,0.0001410556,0.84285419,4.7255855,30.237316,1.6872327e-05,0.0042913706,0.52875987,0.051958343,1198.9372
ad67f6a3,0.732504,0.24,405.4200,0.576085,0.576085,354.1000,0.629746,0.188924,0.700000,392.5954,0.071343449,0.002138504,3.3876273e-05,0.0022333443,0.036107444,0.00033156544,0.18130206,4.6420813,29.724165,9.2256137e-05,0.0013649905,0.86172075,0.060765384,347.51992
c4c0c7ab,0.515229,0.24,725.7000,0.241193,0.241193,671.8000,0.297552,0.089266,0.700000,354.7018,0.16548284,0.0078008913,1.0417214e-05,0.0035924502,0.57796595,0.00054268904,0.12890683,4.1038531,30.156587,3.882382e-05,0.0029000585,1.1736201,0.021655812,667.97694
11a820b2,0.350000,0.24,1119.9800,0.000000,0.000000,1181.6400,0.000000,0.000000,0.700000,393.5580,0.17315568,0.0019306067,0.00011474568,0.004386836,0.14260385,0.00049770225,0.20758923,4.7361313,30.347589,1.7938552e-05,0.0038478231,1.2101512,0.061125052,1175.4665
70e504be,0.694203,0.24,461.6400,0.517300,0.517300,410.9000,0.570355,0.171106,0.700000,384.8128,0.11937093,0.0018787904,1.7105815e-05,0.0017999245,0.47686916,0.00040026482,0.58300902,4.7481612,30.003901,8.6312608e-05,0.0020783617,1.4327101,0.053370205,403.76732
fd3fe103,0.481802,0.24,774.6800,0.189979,0.189979,721.6600,0.245418,0.073625,0.700000,369.8490,0.067491215,0.0044130845,2.7099463e-05,0.0051784817,0.64197332,0.00030071212,0.24595644,4.0455345,29.866042,5.7138377e-05,0.0028440906,0.56233723,0.039043355,716.93422
ffefb082,0.410042,0.24,879.8200,0.080042,0.080042,828.7200,0.133473,0.040042,0.700000,383.1382,0.076799389,0.0035165573,3.2920221e-05,0.0014358373,0.60733774,0.0004658417,0.82492234,4.8161485,29.586687,1.6544111e-05,0.0032847084,1.2679729,0.049443767,822.1244
a1c104e0,0.755066,0.24,372.5800,0.610423,0.610423,319.7200,0.665694,0.199708,0.700000,392.3685,0.20978873,0.0069290055,6.1122706e-05,0.0049592896,0.40541788,0.00053418887,0.26814747,4.4289526,29.854387,3.3462858e-05,0.0048695298,0.50324526,0.055651581,314.63557
3c3f94e3,9999.000000,0.24,58.1000,0.939249,0.939249,0.0000,1.000000,9999.000000,0.000000,0.0000,0.10207877,0.0067094411,3.3058576e-05,0.001502011,0.28540582,0.00050568837,0.28088532,4.5649392,30.013672,2.0161072e-05,0.0047964356,1.3403527,0.012189427,653.98855
7fab4572,0.356865,0.24,966.2400,0.000000,0.000000,912.6000,0.045767,0.013730,0.700000,351.8387,0.089532159,0.0056981111,1.8291195e-05,0.0029213171,0.65149835,0.00057508388,0.13990336,4.3996471,29.857512,2.0137007e-05,0.004576638,1.2057976,0.014514868,912.25248
30a24cff,0.734090,0.24,403.5200,0.578071,0.578071,350.3200,0.633698,0.190109,0.700000,361.9523,0.61257865,0.0064526883,1.1070972e-05,0.0022632276,0.88007877,0.00019395249,0.63314868,4.732396,29.721913,3.0348821e-05,1.6169425e-05,0.62290105,0.029094904,345.593
fc6950fc,0.627631,0.24,559.9600,0.414494,0.414494,507.6200,0.469222,0.140767,0.700000,367.4456,0.43675551,0.0011774868,2.3333813e-05,0.0034611673,0.93238816,0.00011728262,0.8489566,4.50307,29.705539,4.351465e-05,0.0028207593,0.75778234,0.036352321,502.139
ef3a6ace,0.350000,0.49,1042.8400,0.000000,0.000000,990.7600,0.000000,0.000000,0.700000,363.2235,0.1050618,0.0091634318,5.7147616e-05,0.0011078958,0.82460827,0.0005555747,0.47579308,4.0448502,29.791067,5.5688179e-06,0.0028195039,1.272142,0.03245445,985.2809
c27f41d8,0.350000,0.49,1119.9800,0.000000,0.000000,1162.2000,0.000000,0.000000,0.700000,356.3568,0.23141303,0.0025437662,8.3585384e-05,0.004104915,0.50387369,0.00040678677,0.39464406,4.3942446,30.333374,2.3226715e-05,0.003122697,0.80739936,0.02537737,1157.6653
c6159d14,0.350000,0.49,1119.9800,0.000000,0.000000,1079.4600,0.000000,0.000000,0.700000,369.6902,0.10315034,0.0014797213,3.0349207e-05,0.0022840309,0.7403686,0.00036879178,0.68568049,4.4983663,30.140358,3.2248922e-05,0.004426071,1.0510595,0.038214733,1073.7428
16a62c35,0.350000,0.49,1068.3800,0.000000,0.000000,1016.5200,0.000000,0.000000,0.700000,425.2566,0.04998661,0.0020759564,7.8240626e-05,0.0017141233,0.25905696,0.00061868755,0.14030381,4.3453352,29.87007,1.5729185e-05,0.0045101853,0.81281002,0.091082223,1010.9017
52d821da,0.350000,0.49,1119.9800,0.000000,0.000000,1156.3200,0.000000,0.000000,0.700000,434.3940,0.25543782,0.0052217907,1.4725859e-05,0.0026191754,0.096120767,0.00040584114,0.66529039,4.252502,30.095564,1.6860241e-05,0.0028397958,0.70057456,0.098077847,1151.2359
eb86e06b,0.423873,0.49,860.0200,0.100746,0.100746,806.5400,0.156665,0.047000,0.700000,352.0243,0.10373139,0.0074172692,7.5405585e-05,0.0025078972,0.4106918,0.00026942331,0.50295618,4.7074116,29.78138,1.3107147e-05,0.0043065311,0.97741991,0.01849116,803.01896
b6a3f227,0.350000,0.49,1119.9800,0.000000,0.000000,1196.0800,0.000000,0.000000,0.700000,350.7563,0.1040299,0.0029278037,3.7079659e-05,0.0032975207,0.70773218,0.0016279467,0.33324114,4.7494571,29.927454,2.8886777e-05,0.0027998478,1.2853403,0.017555464,1192.8973
6d7bd5f2,9999.000000,0.49,58.1000,0.939249,0.939249,0.0000,1.000000,9999.000000,0.000000,0.0000,0.095166617,0.0095612254,6.6747372e-06,0.0032588936,0.18872222,0.00072636097,0.21380044,4.7405934,30.239131,5.8869569e-05,0.0020948129,1.1838545,0.013463165,1196.0579
368de53f,0.636196,0.49,547.3200,0.427711,0.427711,495.1400,0.482272,0.144681,0.700000,400.3264,0.091817634,0.0047945556,1.9486249e-05,0.0064750636,0.12893776,0.00045753788,0.33475684,4.581805,29.981185,8.0633449e-06,0.0041581579,0.61624035,0.068506631,489.48851
9d591e4d,0.350000,0.49,1119.9800,0.000000,0.000000,1111.6400,0.000000,0.000000,0.700000,363.1468,0.049993354,0.0031244052,0.00011155256,0.0084418808,0.59595965,0.00078045317,0.48380296,4.6262287,29.973271,9.8276753e-06,0.0016266728,1.2781214,0.032302102,1106.1883
ebba50b7,0.350000,0.49,1037.4200,0.000000,0.000000,983.5400,0.000000,0.000000,0.700000,354.1080,0.029832636,0.0016991366,3.3793613e-05,0.001209911,0.036697358,0.00072115018,0.83528863,3.8047261,30.499602,1.7347054e-05,0.0045446083,0.73274653,0.020770694,979.92585
0d0ad902,0.350000,0.49,1119.9800,0.000000,0.000000,1084.1200,0.000000,0.000000,0.700000,369.4852,0.35275329,0.0076889616,1.7069548e-05,0.0021007251,0.0016244073,0.00017887532,0.095488789,4.82234,30.457202,5.0087974e-06,0.0039895961,0.69185909,0.037085452,1079.3566
c0b86282,0.350000,0.49,1119.9800,0.000000,0.000000,1143.9400,0.000000,0.000000,0.700000,376.7002,0.2254593,0.00083807241,4.3157203e-05,0.005304482,0.0081337228,0.00044587473,0.69795836,4.4941445,30.270126,1.6448046e-05,0.0019409002,1.0743592,0.045818577,1138.1331
2a12e066,0.355366,0.49,974.1000,0.000000,0.000000,922.1600,0.035771,0.010731,0.700000,400.7731,0.12084659,0.0016334106,0.00017980274,0.0024767945,0.056178808,9.5626685e-05,0.5119507,4.4882873,30.238141,1.0790226e-05,0.0031709201,0.80089683,0.066942445,916.56406
f222af17,9999.000000,0.49,58.1000,0.939249,0.939249,0.0000,1.000000,9999.000000,0.000000,0.0000,0.27099341,0.0022124927,6.2035636e-05,0.0049577792,0.18468501,0.0007384516,0.68553886,4.1436095,30.33146,2.5332929e-06,0.0025687157,0.99044332,0.012200193,747.02696
72386c08,0.359580,0.49,954.5000,0.001955,0.001955,901.5200,0.057352,0.017206,0.700000,358.0714,0.031159324,0.0071416927,6.1870683e-05,0.0037575619,0.58461869,8.4265259e-05,0.23337557,4.2742644,29.669286,1.2321568e-05,0.0043040707,0.65567776,0.026941103,896.95493
d487abb0,0.350000,0.49,1119.9800,0.000000,0.000000,1190.7600,0.000000,0.000000,0.700000,429.6519,0.11984414,0.0047840892,6.3246368e-05,0.0022902591,0.24397416,0.00019393771,0.47095108,4.7949201,30.060971,1.2578053e-05,0.0026297511,1.2385183,0.095326248,1184.3595
ed7c3321,0.350000,0.49,1119.9800,0.000000,0.000000,1090.7400,0.000000,0.000000,0.700000,407.1017,0.1127634,0.0025783812,2.8061099e-05,0.0098101403,0.27830728,0.00025469311,0.28457515,4.4172605,30.058484,2.3151843e-05,0.0046189314,1.3784509,0.070698599,1084.0755
54a3d98a,0.350000,0.49,1119.9800,0.000000,0.000000,1202.9000,0.000000,0.000000,0.700000,376.1951,0.066720002,0.0081482195,1.7335301e-05,0.0021360465,0.51596889,9.6314959e-05,0.98892702,5.0459019,29.771702,3.079606e-05,0.0033759126,0.86436837,0.043990111,1197.6499
a2cbbf7d,0.350000,0.49,1119.9800,0.000000,0.000000,1183.4000,0.000000,0.000000,0.700000,388.9262,0.15981882,0.003103882,3.1600861e-05,0.0012261321,0.41983478,0.00044912984,0.5018777,4.643025,30.180955,1.3496318e-05,0.0037322037,0.98286888,0.056790627,1177.7323
692c8b89,9999.000000,0.72,58.1000,0.939249,0.939249,0.0000,1.000000,9999.000000,0.000000,0.0000,0.12297677,0.0032215193,0.00019339661,0.0019746189,0.17793385,0.0010110046,0.13938119,4.2309314,29.872667,1.2615618e-05,0.0034226179,1.681231,0.013121476,1087.7391
e1c13e5e,0.350000,0.72,1119.9800,0.000000,0.000000,1202.4000,0.000000,0.000000,0.700000,383.8890,0.045945946,0.0022365216,2.6200729e-05,0.0038768396,0.79963041,0.00042805491,0.18819123,4.4659981,29.775347,6.1503427e-06,0.0028479289,0.82114022,0.05272717,1197.2199
c22a21b3,0.350000,0.72,1119.9800,0.000000,0.000000,1198.8600,0.000000,0.000000,0.700000,413.8183,0.18419051,0.0025754548,0.00014274011,0.0025647544,0.60362667,0.00041871503,0.42681237,4.2811983,30.374901,1.6794632e-05,0.0041050902,0.89940629,0.081173753,1193.2872
0df10a56,0.350000,0.72,1010.7200,0.000000,0.000000,956.9800,0.000000,0.000000,0.700000,351.2952,0.14776238,0.0083562619,3.401206e-05,0.0079614987,0.13744803,0.00047823772,0.61174975,4.9680585,29.678027,3.9574194e-05,0.0037140638,0.50658464,0.016182939,954.63439
